tool,nthreads,size,repetitions,usec
Pthreads,1,1000000,2000,7046924
Pthreads,2,500000,2000,"3880923,1"
Pthreads,3,"333333,333333333",2000,"3565872,5"
Pthreads,4,250000,2000,"3235097,4"
Pthreads,5,200000,2000,"3224585,7"
Pthreads,6,"166666,666666667",2000,"3208849,4"
Pthreads,7,"142857,142857143",2000,"3202890,3"
Pthreads,8,125000,2000,"3150166,5"
OpenMP,1,1000000,2000,"6465035,8"
OpenMP,2,500000,2000,"3634554,3"
OpenMP,3,"333333,333333333",2000,"3210624,9"
OpenMP,4,250000,2000,2785883
OpenMP,5,200000,2000,"2828150,9"
OpenMP,6,"166666,666666667",2000,"2807445,8"
OpenMP,7,"142857,142857143",2000,"2774022,8"
OpenMP,8,125000,2000,2808807
